id,image_name,MAE_value,pixel_count,cropmark_median,cropmark_min,cropmark_max,cropmark_std,percentile_rank,min_max_rank,layer_valid_pixels,layer_mean,layer_median,layer_min,layer_p90,layer_p95,layer_max,layer_std,stats_source,cropmark,replant_2024,is_detected_with_natural_color,comments,derived_product_name,replant_2025
12,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.8280668258667,171,10.890321731567383,10.484097480773926,11.038883209228516,0.16219322383403778,0.4529262304160657,0.22284341546807068,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,0,,MTVI,0
13,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.378029823303223,109,10.373866081237793,10.223695755004883,10.587570190429688,0.08884859085083008,0.1275474132235494,0.16378344137837558,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,0,,PCA_COMB22,0
14,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.456192970275879,30,10.473332405090332,10.286158561706543,10.571200370788574,0.09065306931734085,0.1718506648265817,0.17404107221468218,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,0,,TCARI_OSAVI,0
15,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.58145809173584,287,10.63466739654541,10.321759223937988,10.696486473083496,0.1089247539639473,0.2569365475511689,0.19048006453226235,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,1,,,0
16,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,11.143678665161133,130,11.155208587646484,10.987322807312012,11.245403289794922,0.08244394510984421,0.6600355829079534,0.2642622920158966,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,0,0,,Invented,,0
17,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,11.057148933410645,478,11.088630676269531,10.453474998474121,12.110335350036621,0.4427529573440552,0.613474799061042,0.2529066841746252,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,0,0,,Follow crop,,0
18,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.8865385055542,83,10.867186546325684,10.695138931274414,11.121899604797363,0.1569851040840149,0.4980769479041197,0.23051686424595783,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,0,0,,Invented,,0
19,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_glcm_contrast_mae.tif,10.87333869934082,111,10.803828239440918,10.708346366882324,11.148360252380371,0.1268523633480072,0.4880163746493658,0.228784606212706,68860589,11.26,10.89,9.13,13.37,13.89,16.75,1.13,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,0,0,,Tractor,,0
1,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,12.715476989746094,98,12.743093490600586,12.34554672241211,13.00825309753418,0.19636273384094238,0.7778624141597162,0.418134032177324,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,0,0,0,,,0
2,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.576050758361816,306,11.551162719726562,11.48483657836914,11.68410587310791,0.06979752331972122,0.28152474850309517,0.2585505263812067,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,1,,,0
